Epoch 0/50, Train acc: 0.3434%, Train loss: 5.6966, Val acc: 0.57%, Val loss: 5.6974
Epoch 34/50, Train acc: 90.3632%, Train loss: 0.3635, Val acc: 75.71%, Val loss: 1.1868
Epoch 35/50, Train acc: 90.7752%, Train loss: 0.3470, Val acc: 75.00%, Val loss: 1.1934
Epoch 36/50, Train acc: 91.3590%, Train loss: 0.3276, Val acc: 76.49%, Val loss: 1.2134
Epoch 37/50, Train acc: 91.4020%, Train loss: 0.3202, Val acc: 76.63%, Val loss: 1.1979
Epoch 38/50, Train acc: 92.3292%, Train loss: 0.2940, Val acc: 76.42%, Val loss: 1.2214
Epoch 39/50, Train acc: 92.2390%, Train loss: 0.2950, Val acc: 76.42%, Val loss: 1.1926
Epoch 40/50, Train acc: 92.7284%, Train loss: 0.2774, Val acc: 76.63%, Val loss: 1.1692
Epoch 41/50, Train acc: 92.9773%, Train loss: 0.2638, Val acc: 76.70%, Val loss: 1.1776
Epoch 42/50, Train acc: 93.3207%, Train loss: 0.2532, Val acc: 77.31%, Val loss: 1.1750
Epoch 43/50, Train acc: 93.1447%, Train loss: 0.2621, Val acc: 77.38%, Val loss: 1.1721
Epoch 44/50, Train acc: 93.4967%, Train loss: 0.2478, Val acc: 77.06%, Val loss: 1.1747
Epoch 45/50, Train acc: 93.3765%, Train loss: 0.2513, Val acc: 77.06%, Val loss: 1.1743
Epoch 46/50, Train acc: 93.4753%, Train loss: 0.2429, Val acc: 77.20%, Val loss: 1.1782
Epoch 47/50, Train acc: 93.8831%, Train loss: 0.2315, Val acc: 77.10%, Val loss: 1.1662
Epoch 48/50, Train acc: 93.5440%, Train loss: 0.2380, Val acc: 77.10%, Val loss: 1.1686
Epoch 49/50, Train acc: 93.6813%, Train loss: 0.2372, Val acc: 77.13%, Val loss: 1.1691
Epoch 50/50, Train acc: 93.8316%, Train loss: 0.2363, Val acc: 77.20%, Val loss: 1.1691
Epoch 51/100, Train acc: 93.6255%, Train loss: 0.2440, Val acc: 77.20%, Val loss: 1.1691
Epoch 52/100, Train acc: 93.7285%, Train loss: 0.2377, Val acc: 77.20%, Val loss: 1.1691
Epoch 53/100, Train acc: 93.6513%, Train loss: 0.2423, Val acc: 77.20%, Val loss: 1.1691
Epoch 54/100, Train acc: 93.4796%, Train loss: 0.2457, Val acc: 77.20%, Val loss: 1.1691
Epoch 55/100, Train acc: 93.5783%, Train loss: 0.2382, Val acc: 77.20%, Val loss: 1.1691
Epoch 56/100, Train acc: 93.4839%, Train loss: 0.2411, Val acc: 77.20%, Val loss: 1.1691
Epoch 57/100, Train acc: 93.4796%, Train loss: 0.2475, Val acc: 77.20%, Val loss: 1.1691
Epoch 58/100, Train acc: 93.6813%, Train loss: 0.2393, Val acc: 77.20%, Val loss: 1.1691
Epoch 59/100, Train acc: 93.6470%, Train loss: 0.2441, Val acc: 77.20%, Val loss: 1.1691
Epoch 60/100, Train acc: 93.7843%, Train loss: 0.2389, Val acc: 77.20%, Val loss: 1.1691
Epoch 61/100, Train acc: 93.7285%, Train loss: 0.2324, Val acc: 77.20%, Val loss: 1.1691
Epoch 62/100, Train acc: 93.9217%, Train loss: 0.2322, Val acc: 77.20%, Val loss: 1.1691
Epoch 63/100, Train acc: 93.7028%, Train loss: 0.2379, Val acc: 77.20%, Val loss: 1.1691
Epoch 64/100, Train acc: 93.4624%, Train loss: 0.2466, Val acc: 77.20%, Val loss: 1.1691
Epoch 65/100, Train acc: 93.6384%, Train loss: 0.2428, Val acc: 77.20%, Val loss: 1.1691
Epoch 66/100, Train acc: 93.8230%, Train loss: 0.2308, Val acc: 77.20%, Val loss: 1.1691
Epoch 67/100, Train acc: 93.6255%, Train loss: 0.2364, Val acc: 77.20%, Val loss: 1.1691
Epoch 68/100, Train acc: 93.5311%, Train loss: 0.2411, Val acc: 77.20%, Val loss: 1.1691
Epoch 69/100, Train acc: 93.9818%, Train loss: 0.2288, Val acc: 77.20%, Val loss: 1.1691
Epoch 70/100, Train acc: 93.5654%, Train loss: 0.2406, Val acc: 77.20%, Val loss: 1.1691
Epoch 71/100, Train acc: 93.9646%, Train loss: 0.2296, Val acc: 77.20%, Val loss: 1.1691
Epoch 72/100, Train acc: 93.7500%, Train loss: 0.2380, Val acc: 77.20%, Val loss: 1.1691
Epoch 73/100, Train acc: 93.7672%, Train loss: 0.2361, Val acc: 77.20%, Val loss: 1.1691
Epoch 74/100, Train acc: 93.9603%, Train loss: 0.2285, Val acc: 77.20%, Val loss: 1.1691
Epoch 75/100, Train acc: 93.5869%, Train loss: 0.2399, Val acc: 77.20%, Val loss: 1.1691
Epoch 76/100, Train acc: 93.5955%, Train loss: 0.2393, Val acc: 77.20%, Val loss: 1.1691
Epoch 77/100, Train acc: 93.4066%, Train loss: 0.2459, Val acc: 77.20%, Val loss: 1.1691
Epoch 78/100, Train acc: 93.8487%, Train loss: 0.2371, Val acc: 77.20%, Val loss: 1.1691
Epoch 79/100, Train acc: 93.8058%, Train loss: 0.2418, Val acc: 77.20%, Val loss: 1.1691
Epoch 80/100, Train acc: 93.4796%, Train loss: 0.2433, Val acc: 77.20%, Val loss: 1.1691
Epoch 81/100, Train acc: 93.6556%, Train loss: 0.2333, Val acc: 77.20%, Val loss: 1.1691
Epoch 82/100, Train acc: 93.7586%, Train loss: 0.2443, Val acc: 77.20%, Val loss: 1.1691
Epoch 83/100, Train acc: 93.6942%, Train loss: 0.2389, Val acc: 77.20%, Val loss: 1.1691
Epoch 84/100, Train acc: 93.6255%, Train loss: 0.2378, Val acc: 77.20%, Val loss: 1.1691
Epoch 85/100, Train acc: 93.5697%, Train loss: 0.2452, Val acc: 77.20%, Val loss: 1.1691
Epoch 86/100, Train acc: 93.4152%, Train loss: 0.2477, Val acc: 77.20%, Val loss: 1.1691
Epoch 87/100, Train acc: 93.6470%, Train loss: 0.2363, Val acc: 77.20%, Val loss: 1.1691
Epoch 88/100, Train acc: 93.5354%, Train loss: 0.2404, Val acc: 77.20%, Val loss: 1.1691
Epoch 89/100, Train acc: 93.4967%, Train loss: 0.2449, Val acc: 77.20%, Val loss: 1.1691
Epoch 90/100, Train acc: 93.6212%, Train loss: 0.2378, Val acc: 77.20%, Val loss: 1.1691
Epoch 91/100, Train acc: 93.4924%, Train loss: 0.2425, Val acc: 77.20%, Val loss: 1.1691
Epoch 92/100, Train acc: 93.6255%, Train loss: 0.2435, Val acc: 77.20%, Val loss: 1.1691
Epoch 93/100, Train acc: 93.6599%, Train loss: 0.2339, Val acc: 77.20%, Val loss: 1.1691
Epoch 94/100, Train acc: 93.6384%, Train loss: 0.2422, Val acc: 77.20%, Val loss: 1.1691
Epoch 95/100, Train acc: 93.6770%, Train loss: 0.2397, Val acc: 77.20%, Val loss: 1.1691
Epoch 96/100, Train acc: 93.6856%, Train loss: 0.2368, Val acc: 77.20%, Val loss: 1.1691
Epoch 97/100, Train acc: 93.5654%, Train loss: 0.2398, Val acc: 77.20%, Val loss: 1.1691
Epoch 98/100, Train acc: 93.6556%, Train loss: 0.2377, Val acc: 77.20%, Val loss: 1.1691
Epoch 99/100, Train acc: 93.5311%, Train loss: 0.2444, Val acc: 77.20%, Val loss: 1.1691
Epoch 100/100, Train acc: 93.4753%, Train loss: 0.2446, Val acc: 77.20%, Val loss: 1.1691
