Epoch 0/50, Train acc: 0.3397%, Train loss: 5.8890, Val acc: 0.50%, Val loss: 5.8875
Epoch 26/50, Train acc: 94.7281%, Train loss: 0.1878, Val acc: 83.56%, Val loss: 0.8527
Epoch 27/50, Train acc: 94.8194%, Train loss: 0.1888, Val acc: 83.17%, Val loss: 0.7947
Epoch 28/50, Train acc: 95.3776%, Train loss: 0.1700, Val acc: 84.73%, Val loss: 0.7433
Epoch 29/50, Train acc: 95.1786%, Train loss: 0.1718, Val acc: 83.13%, Val loss: 0.8441
Epoch 30/50, Train acc: 95.8954%, Train loss: 0.1481, Val acc: 85.19%, Val loss: 0.7693
Epoch 31/50, Train acc: 96.1514%, Train loss: 0.1369, Val acc: 85.69%, Val loss: 0.7244
Epoch 32/50, Train acc: 96.0788%, Train loss: 0.1397, Val acc: 85.55%, Val loss: 0.7497
Epoch 33/50, Train acc: 96.3362%, Train loss: 0.1302, Val acc: 85.83%, Val loss: 0.7176
Epoch 34/50, Train acc: 96.6617%, Train loss: 0.1202, Val acc: 85.62%, Val loss: 0.7337
Epoch 35/50, Train acc: 96.7710%, Train loss: 0.1147, Val acc: 86.33%, Val loss: 0.6966
Epoch 36/50, Train acc: 96.9446%, Train loss: 0.1098, Val acc: 87.00%, Val loss: 0.6532
Epoch 37/50, Train acc: 97.0366%, Train loss: 0.1045, Val acc: 87.18%, Val loss: 0.6838
Epoch 38/50, Train acc: 97.2394%, Train loss: 0.0995, Val acc: 86.83%, Val loss: 0.6672
Epoch 39/50, Train acc: 97.2806%, Train loss: 0.0968, Val acc: 87.04%, Val loss: 0.6626
Epoch 40/50, Train acc: 97.5260%, Train loss: 0.0875, Val acc: 87.14%, Val loss: 0.6638
Epoch 41/50, Train acc: 97.5485%, Train loss: 0.0884, Val acc: 87.25%, Val loss: 0.6870
Epoch 42/50, Train acc: 97.7296%, Train loss: 0.0818, Val acc: 87.78%, Val loss: 0.6419
Epoch 43/50, Train acc: 97.7752%, Train loss: 0.0780, Val acc: 87.71%, Val loss: 0.6502
Epoch 44/50, Train acc: 97.8037%, Train loss: 0.0786, Val acc: 87.93%, Val loss: 0.6580
Epoch 45/50, Train acc: 97.9152%, Train loss: 0.0753, Val acc: 87.78%, Val loss: 0.6456
Epoch 46/50, Train acc: 97.8965%, Train loss: 0.0745, Val acc: 87.50%, Val loss: 0.6521
Epoch 47/50, Train acc: 97.9496%, Train loss: 0.0728, Val acc: 87.78%, Val loss: 0.6540
Epoch 48/50, Train acc: 97.9354%, Train loss: 0.0738, Val acc: 87.68%, Val loss: 0.6425
Epoch 49/50, Train acc: 97.9758%, Train loss: 0.0730, Val acc: 87.68%, Val loss: 0.6408
Epoch 50/50, Train acc: 98.0110%, Train loss: 0.0699, Val acc: 87.68%, Val loss: 0.6413
Epoch 51/100, Train acc: 97.9204%, Train loss: 0.0739, Val acc: 87.78%, Val loss: 0.6405
Epoch 52/100, Train acc: 97.9421%, Train loss: 0.0731, Val acc: 87.75%, Val loss: 0.6391
Epoch 53/100, Train acc: 97.9331%, Train loss: 0.0712, Val acc: 87.86%, Val loss: 0.6448
Epoch 54/100, Train acc: 97.9256%, Train loss: 0.0733, Val acc: 87.64%, Val loss: 0.6439
Epoch 55/100, Train acc: 97.9728%, Train loss: 0.0724, Val acc: 87.96%, Val loss: 0.6433
Epoch 56/100, Train acc: 97.9773%, Train loss: 0.0716, Val acc: 87.86%, Val loss: 0.6400
Epoch 57/100, Train acc: 97.8830%, Train loss: 0.0751, Val acc: 87.89%, Val loss: 0.6541
Epoch 58/100, Train acc: 97.9234%, Train loss: 0.0738, Val acc: 87.86%, Val loss: 0.6481
Epoch 59/100, Train acc: 97.8770%, Train loss: 0.0756, Val acc: 87.36%, Val loss: 0.6383
Epoch 60/100, Train acc: 97.7648%, Train loss: 0.0784, Val acc: 87.64%, Val loss: 0.6488
Epoch 61/100, Train acc: 97.7962%, Train loss: 0.0778, Val acc: 87.46%, Val loss: 0.6747
Epoch 62/100, Train acc: 97.6196%, Train loss: 0.0841, Val acc: 87.61%, Val loss: 0.7010
Epoch 63/100, Train acc: 97.4804%, Train loss: 0.0894, Val acc: 87.11%, Val loss: 0.6977
Epoch 64/100, Train acc: 97.4609%, Train loss: 0.0885, Val acc: 86.97%, Val loss: 0.6699
Epoch 65/100, Train acc: 96.8249%, Train loss: 0.1121, Val acc: 85.55%, Val loss: 0.7126
Epoch 66/100, Train acc: 97.2679%, Train loss: 0.0957, Val acc: 86.61%, Val loss: 0.6961
Epoch 67/100, Train acc: 97.0561%, Train loss: 0.1030, Val acc: 86.72%, Val loss: 0.6862
Epoch 68/100, Train acc: 96.8900%, Train loss: 0.1071, Val acc: 85.44%, Val loss: 0.7654
Epoch 69/100, Train acc: 96.7822%, Train loss: 0.1155, Val acc: 85.65%, Val loss: 0.7378
Epoch 70/100, Train acc: 96.6894%, Train loss: 0.1166, Val acc: 84.45%, Val loss: 0.7908
Epoch 71/100, Train acc: 96.3863%, Train loss: 0.1277, Val acc: 85.19%, Val loss: 0.8224
Epoch 72/100, Train acc: 96.3414%, Train loss: 0.1280, Val acc: 84.98%, Val loss: 0.8436
Epoch 73/100, Train acc: 96.1476%, Train loss: 0.1358, Val acc: 84.69%, Val loss: 0.7632
Epoch 74/100, Train acc: 96.0795%, Train loss: 0.1397, Val acc: 83.66%, Val loss: 0.8434
Epoch 75/100, Train acc: 95.2167%, Train loss: 0.1676, Val acc: 82.88%, Val loss: 0.8927
Epoch 76/100, Train acc: 94.9294%, Train loss: 0.1777, Val acc: 81.46%, Val loss: 1.0053
Epoch 77/100, Train acc: 95.2384%, Train loss: 0.1698, Val acc: 83.66%, Val loss: 0.8691
Epoch 78/100, Train acc: 94.6233%, Train loss: 0.1900, Val acc: 83.52%, Val loss: 0.8747
Epoch 79/100, Train acc: 94.6802%, Train loss: 0.1893, Val acc: 82.14%, Val loss: 0.9104
Epoch 80/100, Train acc: 94.5133%, Train loss: 0.1950, Val acc: 83.24%, Val loss: 0.8266
Epoch 81/100, Train acc: 94.7191%, Train loss: 0.1874, Val acc: 82.71%, Val loss: 0.8067
Epoch 82/100, Train acc: 94.4310%, Train loss: 0.1971, Val acc: 82.92%, Val loss: 0.8730
Epoch 83/100, Train acc: 93.6422%, Train loss: 0.2332, Val acc: 81.75%, Val loss: 0.9724
Epoch 84/100, Train acc: 93.3871%, Train loss: 0.2408, Val acc: 80.15%, Val loss: 1.0044
Epoch 85/100, Train acc: 94.2686%, Train loss: 0.2072, Val acc: 82.92%, Val loss: 0.9157
Epoch 86/100, Train acc: 93.3070%, Train loss: 0.2417, Val acc: 80.58%, Val loss: 0.9812
Epoch 87/100, Train acc: 92.8296%, Train loss: 0.2597, Val acc: 79.97%, Val loss: 1.0014
Epoch 88/100, Train acc: 92.9740%, Train loss: 0.2503, Val acc: 79.65%, Val loss: 1.0428
Epoch 89/100, Train acc: 92.8191%, Train loss: 0.2582, Val acc: 79.87%, Val loss: 1.0066
Epoch 90/100, Train acc: 92.1433%, Train loss: 0.2804, Val acc: 79.23%, Val loss: 0.9786
Epoch 91/100, Train acc: 93.0361%, Train loss: 0.2513, Val acc: 80.47%, Val loss: 0.9655
Epoch 92/100, Train acc: 92.4988%, Train loss: 0.2718, Val acc: 79.97%, Val loss: 0.9552
Epoch 93/100, Train acc: 92.4098%, Train loss: 0.2749, Val acc: 80.26%, Val loss: 0.9266
Epoch 94/100, Train acc: 91.9615%, Train loss: 0.2952, Val acc: 77.98%, Val loss: 1.1029
Epoch 95/100, Train acc: 93.0436%, Train loss: 0.2588, Val acc: 79.90%, Val loss: 1.1014
Epoch 96/100, Train acc: 92.6455%, Train loss: 0.2738, Val acc: 79.76%, Val loss: 1.1112
Epoch 97/100, Train acc: 93.4963%, Train loss: 0.2383, Val acc: 81.18%, Val loss: 0.9557
Epoch 98/100, Train acc: 92.0775%, Train loss: 0.2871, Val acc: 79.79%, Val loss: 0.9915
Epoch 99/100, Train acc: 92.5834%, Train loss: 0.2675, Val acc: 78.76%, Val loss: 1.0466
Epoch 100/100, Train acc: 92.6268%, Train loss: 0.2669, Val acc: 79.72%, Val loss: 1.0244
